Rank,Player,College,Games,Minitues Per Game,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Year
1405,Zylan Cheatham,SDSU,38,20.8,5.4,0.9,0.6,0.7,0.7,2016
1406,Kenny Jones,APSU,36,24.0,5.3,1.3,0.8,0.5,0.5,2016
1407,Eli Pepper,LIP,33,23.0,7.7,1.6,0.3,0.9,0.9,2016
1408,Jordan Andrews,YSU,32,20.8,2.8,0.9,0.9,0.1,0.1,2016
1409,Jarryn Skeete,UB,35,27.8,3.2,2.2,0.9,0.1,0.1,2016
1410,Charles Callison,WSU,27,24.8,1.6,3.0,1.1,0.1,0.1,2016
1411,Justin Coleman,UA,33,26.2,2.0,3.3,0.7,0.0,0.0,2016
1412,Zach Gengler,PSU,31,22.1,2.2,2.5,1.2,0.2,0.2,2016
1413,Terrence Phillips,MU,31,26.2,4.2,3.5,1.3,0.1,0.1,2016
1414,Markus Terry,PC,31,23.5,2.2,1.3,0.5,0.1,0.1,2016
1415,Jadon Cohee,SEA,31,20.8,2.0,1.0,0.4,0.0,0.0,2016
1416,Bola Olaniyan,SIU,29,23.9,8.8,0.8,0.9,0.2,0.2,2016
1417,Dajuan Graf,NCCU,29,29.1,3.0,4.0,0.9,0.0,0.0,2016
1418,Cullen Russo,CSUF,34,25.5,6.0,1.7,1.8,0.6,0.6,2016
1419,Corey Baldwin,UND,33,21.2,3.4,1.1,1.0,0.2,0.2,2016
1420,Drake Lamont,WMY,32,23.5,4.6,1.1,0.5,0.6,0.6,2016
1421,Jourdan Stickler,HBU,31,22.9,2.0,1.0,0.5,0.0,0.0,2016
1422,Marcus Owens,LU,30,21.1,3.8,1.3,0.6,0.2,0.2,2016
1423,DeMondre Harvey,ULM,34,24.5,5.6,1.2,0.6,0.6,0.6,2016
1424,Mislav Brzoja,UE,34,24.1,3.5,3.1,0.9,0.1,0.1,2016
1425,Mark Donnal,UM,34,19.4,3.7,0.4,0.4,0.7,0.7,2016
1426,Tyler Wideman,BU,33,24.4,5.7,0.8,1.0,1.5,1.5,2016
1427,D.J. Foreman,RU,31,26.0,5.8,0.6,0.7,0.5,0.5,2016
1428,Lawrence Cooks,HU,31,27.6,3.7,1.5,0.6,0.1,0.1,2016
1429,Anton Grady,WSU,31,17.3,4.6,0.4,0.4,0.6,0.6,2016
1430,Jarrel Marshall,UP,31,18.7,3.5,1.2,0.4,0.7,0.7,2016
1431,Jake Allsmiller,GSU,31,26.9,1.7,1.2,0.6,0.2,0.2,2016
1432,Nick Hornsby,CSUS,30,27.8,6.9,1.6,1.2,0.7,0.7,2016
1433,Adam Wing,UE,34,29.4,3.7,2.6,0.7,0.3,0.3,2016
1434,Dwayne Benjamin,UO,38,21.7,3.0,0.9,1.0,0.3,0.3,2016
1435,Jeremy Watson,JSU,29,25.2,5.8,0.4,0.4,0.3,0.3,2016
1436,Isaiah Lamb,MAR,29,22.6,2.9,0.4,0.4,0.2,0.2,2016
1437,Alan Herndon,UW,32,28.1,4.7,1.2,0.6,0.8,0.8,2016
1438,Christopher Ortiz,KSU,32,25.2,5.5,0.8,0.5,0.4,0.4,2016
1439,Chris Olivier,OSU,32,16.2,2.9,0.3,0.1,1.0,1.0,2016
1440,A.C. Reid,LIB,32,23.2,2.8,1.5,0.6,0.1,0.1,2016
1441,Matt Van Scyoc,ISU,32,22.1,3.2,0.4,0.2,0.4,0.4,2016
1442,Shane McLaughlin,BU,31,36.6,3.4,5.3,0.9,0.0,0.0,2016
1443,Paul Watson,CSUF,31,24.1,3.2,0.7,0.7,0.5,0.5,2016
1444,Javis Howard,CSU,30,24.6,4.9,0.7,0.7,0.2,0.2,2016
1445,Derek Willis,UK,32,18.6,4.0,0.4,0.7,0.8,0.8,2016
1446,Greg Malinowski,W&M,31,18.8,3.8,0.8,0.6,0.3,0.3,2016
1447,Greg Mortimer,SCSU,34,23.9,2.7,2.4,0.7,0.1,0.1,2016
1448,Tony Washington,LU,29,26.7,7.4,0.7,0.5,1.5,1.5,2016
1449,Kris Martin,ORU,31,20.9,2.6,1.2,0.5,0.4,0.4,2016
1450,Chuck Ester,UTC,35,24.5,4.9,1.6,1.0,0.4,0.4,2016
1451,Eric Jacobsen,ASU,32,22.6,5.1,0.5,0.2,1.0,1.0,2016
1452,Omari Grier,RU,31,21.0,1.5,0.7,0.4,0.1,0.1,2016
1453,Tim Marshall,VMI,28,21.4,2.4,1.1,0.7,0.1,0.1,2016
1454,Desonta Bradford,ETSU,36,19.9,2.9,2.0,0.9,0.4,0.4,2016
1455,Bennett Koch,UNI,36,18.8,3.5,0.4,0.3,0.4,0.4,2016
1456,Marin Mornar,LMU,30,22.5,4.0,0.7,0.3,1.3,1.3,2016
1457,Dee Lewis,BCU,30,20.9,3.9,1.5,0.7,0.1,0.1,2016
1458,Paulius Zalys,LC,30,23.1,3.8,1.3,0.4,0.4,0.4,2016
1459,Zac Seljaas,BYU,35,20.0,2.9,1.2,0.6,0.5,0.5,2016
1460,Admiral Schofield,UT,32,18.7,4.0,0.9,0.4,0.3,0.3,2016
1461,Grant Benzinger,WRST,34,26.4,1.9,0.5,0.5,0.1,0.1,2016
1462,Adam Woodbury,UI,33,25.3,8.3,0.9,0.5,0.3,0.3,2016
1463,Tonye Jekiri,UM,35,28.4,8.6,0.8,0.4,1.0,1.0,2016
1464,Chad Sherwood,U of I,34,22.4,1.6,1.7,0.4,0.0,0.0,2016
1465,Gary Chivichyan,ISU,29,18.6,2.4,0.4,0.4,0.2,0.2,2016
1466,Kyle Benton,NCCU,31,23.2,6.3,0.3,0.5,0.6,0.6,2016
1467,Mo Greenwood,SELU,33,17.9,4.3,0.3,0.4,0.6,0.6,2016
1468,Nick Perkins,UB,35,19.1,4.3,0.3,0.3,0.4,0.4,2016
1469,Anthony Morse,TTU,30,22.7,5.9,0.3,0.5,1.9,1.9,2016
1470,Shane Whitfield,CAM,30,26.9,3.7,1.5,0.7,0.1,0.1,2016
1471,Marcus DeBerry,NAU,30,29.0,2.8,1.6,0.8,0.2,0.2,2016
1472,Jon Severe,FORD,30,17.4,1.6,1.6,1.0,0.3,0.3,2016
1473,Greig Stire,ALB,32,23.2,6.0,0.8,0.4,0.1,0.1,2016
1474,Drew Eubanks,OSU,32,21.4,4.6,0.4,0.4,1.2,1.2,2016
1475,Jackson Kent,JMU,32,27.2,3.8,1.9,0.5,0.1,0.1,2016
1476,Noah Dickerson,UW,33,22.3,5.2,0.3,0.8,0.6,0.6,2016
1477,K'Ja Johnson,FAMU,24,28.1,2.6,2.5,1.1,0.2,0.2,2016
